"Datum";"Buchungstext";"Whg";"Betrag Detail";"ZKB-Referenz";"Referenznummer";"Belastung CHF";"Gutschrift CHF";"Valuta";"Saldo CHF";"Zahlungszweck";"Details"
"14.01.2025";"Gutschrift Auftraggeber: Kanton Graubuenden, Steinbruchstrasse 18";"";"";"Z250149612993";"";"";"1155.10";"14.01.2025";"20829.42";"Auszahlung Steuern Register-Nr.: 00000000 Muster Anna";"Kanton Graubuenden, Steinbruchstrasse 18, 7000 Chur"
"14.01.2025";"Belastung TWINT: ENGADIN ST. MORITZ LOIPEN SAMEDAN";"";"";"L113R1118X9NPQTK-1";"";"12.00";"";"14.01.2025";"20817.42";"";""
"15.01.2025";"Gutschrift Salär: Spitex Stäfa, Seestrasse 23, CH-8712 Stäfa";"";"";"Z250159849510";"";"";"146.40";"15.01.2025";"20963.82";"Salaerzahlung";"Spitex Stäfa, Seestrasse 23, CH-8712 Stäfa"
"15.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 6267, FURNARIA GROND SILS 0000";"";"";"L115B1118XB97TCL-1";"";"13.70";"";"13.01.2025";"20950.12";"";""
"15.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Coop-1140 Stafa 0871 Stafa";"";"";"L115B1118XB8T2KG-1";"";"27.55";"";"13.01.2025";"20922.57";"";""
"15.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Coop-1140 Stafa 0871 Stafa";"";"";"L115B1118XB9GHMV-1";"";"36.00";"";"13.01.2025";"20886.57";"";""
"15.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 6267, FURNARIA GROND SILS 0000";"";"";"L115B1118XBA7LWT-1";"";"57.00";"";"13.01.2025";"20829.57";"";""
"16.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 6267, FURNARIA GROND SILS 0000";"";"";"L11591118XDTR78N-1";"";"5.20";"";"14.01.2025";"20824.37";"";""
"16.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Soho Club GmbH 0751";"";"";"L11591118XDVM4PM-1";"";"56.00";"";"14.01.2025";"20768.37";"";""
"16.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 6267, WALDHAUS - 7514 SILS 0000";"";"";"L11591118XDTVZLA-1";"";"42.00";"";"14.01.2025";"20726.37";"";""
"16.01.2025";"Online-Einkauf ZKB Visa Debit Card Nr. xxxx 6267, ENGADIN.LANGLAUFPA";"";"";"L11591118XDWE5SO-1";"";"12.00";"";"14.01.2025";"20714.37";"";""
"16.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Volg Laden Sils-Maria 0751";"";"";"L11591118XDWS6PZ-1";"";"48.65";"";"14.01.2025";"20665.72";"";""
"16.01.2025";"Online-Einkauf ZKB Visa Debit Card Nr. xxxx 6267, SKY F16533029 0200";"";"";"L11591118XDX12RV-1";"";"15.90";"";"14.01.2025";"20649.82";"";""
"17.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Migros MM Staefa 0871 Stafa";"";"";"L11591118XGNB15G-1";"";"69.95";"";"15.01.2025";"20579.87";"";""
"17.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, FURNARIA GROND SILS 0000";"";"";"L11591118XGPAMC3-1";"";"27.80";"";"15.01.2025";"20552.07";"";""
"17.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, FURNARIA GROND SILS 0000";"";"";"L11591118XGPRXXL-1";"";"21.30";"";"15.01.2025";"20530.77";"";""
"18.01.2025";"Belastung aus Lastschrift mit Widerspruch: CORNERCARD SWITZERLAND, VIA";"";"";"Z250170446494";"";"98.60";"";"20.01.2025";"20432.17";"";""
